Match,Red First,Red Second,Red Third,Blue First,Blue Second,Blue Third
1,,,,,,
2,,,,,,
3,,,,,,
4,,,,,,
5,2363,1599,7770,2421,611,3136
6,5338,2199,2028,401,5804,5549
7,1731,384,614,1908,4541,1086
8,449,1629,3373,8592,2068,9072
9,8726,1895,612,422,6802,3939
10,1727,,,,,
11,4456,122,9033,610,8623,5587
12,686,7770,6326,888,1599,5115
13,620,8230,6863,2106,116,1111
14,401,384,1123,611,5804,1262
15,4541,2199,2537,2363,449,9072
16,5338,3136,1389,614,612,6802
17,1727,1731,5549,623,5724,422
18,836,346,1086,1418,2377,3939
19,4099,2421,2068,8592,1908,8526
20,4472,977,3373,,,
21,116,686,8622,384,1262,5587
22,4541,9072,8230,1610,6326,9033
23,888,449,4456,,,
24,1123,5804,2106,7770,1111,5549
25,1599,5338,5724,1086,1418,5115
26,,,,122,2068,3939
27,623,1629,346,4099,836,3136
28,401,614,977,620,4472,8726
29,2537,2028,3373,1727,6863,1908
30,8592,2363,1895,1731,6802,2377
31,5549,116,9072,612,7770,4456
32,888,611,2106,5338,5115,9033
33,449,2421,1418,422,1123,5587
34,4099,1629,5804,1086,2068,6326
35,5724,8230,3136,2199,620,3939
36,346,977,8622,614,686,2537
37,401,6802,1389,1731,3373,1895
38,1727,1111,1610,2363,1908,1262
39,623,8762,6863,122,1599,384
40,836,4541,2377,8592,4472,2028
41,888,6326,9072,1086,5549,2421
42,5804,3136,620,422,449,9033
43,614,611,116,2537,5724,2068
44,,,,686,1389,1896
45,1123,5115,3939,1731,1908,4456
46,401,122,6863,1727,8230,4099
47,8592,1599,8622,2363,877,4541
48,1610,2028,7770,6802,1629,8726
49,612,2377,4472,623,3373,1262
50,836,5338,5587,384,346,1111
51,3136,116,2537,5804,888,2421
52,1731,620,6326,1418,4456,9072
53,1086,611,686,422,8230,1895
54,1908,977,9033,8592,5549,4541
55,122,1629,5724,2363,6802,6863
56,,,,2106,3373,8622
57,836,1262,1727,5336,8726,614
58,4099,1111,2028,,,
59,,,,401,5587,2068
60,,,,,,
61,1895,977,9072,5804,116,8230
62,1731,611,2537,8592,1629,620
63,422,1086,2363,2106,4456,6236
64,5338,5549,1262,,,
65,836,1111,449,122,1419,3373
66,614,9033,3939,401,4099,1599
67,1389,4472,7770,623,384,1908
68,,,,1727,612,2199
69,5115,2068,8622,,,
70,1123,888,5724,2028,4541,8726
71,422,1629,1731,,,
72,5804,2363,4456,836,6863,1418
73,116,449,977,2106,401,1086
74,,,,623,686,122
75,384,3839,612,1727,8592,6326
76,4472,346,5549,1599,6802,611
77,614,3373,2421,,,
78,888,7770,8622,4099,1123,1895
79,9033,8726,1111,,,
80,1262,4541,2068,1389,620,5587
81,1731,3136,122,2106,977,686
82,8230,4456,3939,384,449,2537
83,8592,612,6863,,,
84,1908,1610,1610,,,
85,6802,5804,9072,1727,1123,614
86,,,,623,888,2028
87,5724,9033,1262,770,1629,2421
88,6326,5338,8622,4472,1111,2068
89,8726,5587,1086,1389,5549,3373
90,4099,5115,4541,620,2377,1895
91,1610,6863,611,,,
92,836,8230,612,1731,1123,1599
93,384,6802,1418,,,
94,2028,1908,2106,346,9072,2421
95,422,4472,8622,,,
96,8592,122,5587,5804,1389,6326
97,4099,8726,3373,5338,116,4456
98,,,,1727,401,4541
99,1111,2537,1895,,,
100,623,2363,2068,620,1086,1086
101,836,6802,977,2199,611,9027
102,1731,8230,1418,,,
103,,,,,,
104,,,,,,
105,,,,,,
106,,,,,,
107,,,,,,
108,,,,,,
109,,,,,,
110,,,,,,
111,,,,,,
112,,,,,,
113,,,,,,
114,,,,,,
115,,,,,,
116,,,,,,
117,,,,,,
118,,,,,,
119,,,,,,
120,,,,,,
121,,,,,,
122,,,,,,
123,,,,,,
124,,,,,,
125,,,,,,
126,,,,,,
127,,,,,,
128,,,,,,
129,,,,,,
130,,,,,,
131,,,,,,
132,,,,,,
133,,,,,,
134,,,,,,
135,,,,,,
136,,,,,,
137,,,,,,
138,,,,,,
139,,,,,,
140,,,,,,
141,,,,,,
142,,,,,,
143,,,,,,
144,,,,,,
145,,,,,,